failure_uid,model_family,method_name,input_scope,repetition,run_id,failure_object_type,related_finding_uid,related_case_id,detection_match,evidence_quality,summary,final_answer_path,tool_trace_path,candidate_reason,failure_manifestation,failure_mechanism,evidence_from_output,tool_trace_observation,likely_cause,method_implication,review_notes
E00011,deepseek_v4_pro,baseline,h19_debug_jtag_scope,1,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_1:F-004,H19-050,Duplicate,Sufficient,"ROM2 storage lacks self-protecting access control, creating a circular dependency where the access-control policy is stored in unprotected memory.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00012,deepseek_v4_pro,baseline,h19_debug_jtag_scope,1,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_1:F-005,H19-050,Duplicate,Sufficient,"The ROM2 secure registers lack any write-once or lock mechanism, remaining perpetually mutable throughout the system lifetime.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00013,deepseek_v4_pro,baseline,h19_debug_jtag_scope,2,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_2:JTAG-005,H19-047,Duplicate,Sufficient,"The DTM_PASS authentication handler has a state machine bug: it sets state_d=Read to initiate a DMI read, then immediately overwrites it with state_d=Idle in the same always_comb block. The password comparison may operate on stale data.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00014,deepseek_v4_pro,baseline,h19_debug_jtag_scope,3,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_3,Duplicate,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_3:F3,H19-054,Duplicate,Sufficient,"Access Control Registers Derived from Writable ROM2: The access_ctrl_reg signals used for peripheral access enforcement in the SoC interconnect are sourced from writable ROM2 registers, meaning an attacker can disable all peripheral access controls by writing to ROM2.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_3\tool_trace.jsonl,Duplicate finding,,,,,,,
E00015,deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,1,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_1,Evidence_failure,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_1:F-001,H19-055,TP,Insufficient,"Hardcoded debug authentication bypass: dmstatus.authenticated is permanently set to 1'b1, signaling to any external debugger that authentication has succeeded without any actual challenge.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_jtag_debug_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_jtag_debug_expansion_scope\rep_1\tool_trace.jsonl,Insufficient evidence,,,,,,,
E00016,deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,1,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_1:F-003,H19-046,Duplicate,Sufficient,"Flawed JTAG DTM_PASS password authentication state machine with uninitialized pass_chk signal, unreachable state transitions, and no authentication session expiry.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_jtag_debug_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_jtag_debug_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00017,deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,2,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_2:F01,H19-057,Duplicate,Insufficient,"ROM2 key storage is writable via the system bus after reset, allowing overwrite of all cryptographic keys and access control registers",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_jtag_debug_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_jtag_debug_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00018,deepseek_v4_pro,baseline,h21_access_lock_scope,1,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_1,Evidence_failure,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_1:F-004,H21-005,TP,Insufficient,"hmac_wrapper: debug_mode_i forces HMAC key and okey_hash to zero, potentially allowing key extraction or bypass if debug mode is not properly hardware-gated.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_1\tool_trace.jsonl,Insufficient evidence,,,,,,,
E00019,deepseek_v4_pro,baseline,h21_access_lock_scope,1,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_1:F-005,H21-043,Duplicate,Sufficient,riscv_peripherals: we_flag_1 ORed into reglk_ctrl_i bypasses register lock protection on a peripheral wrapper.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00020,deepseek_v4_pro,baseline,h21_access_lock_scope,3,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_3,FP_finding,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_3:F-01,,FP,Unsupported,"Debug mode forces HMAC key and outer-key hash to zero, completely bypassing HMAC authentication.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_3\tool_trace.jsonl,FP finding,,,,,,,
E00021,deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,1,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_1:F5,H21-077,Duplicate,Sufficient,we_flag forces write-access bits in acct_wrapper output.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_reglock_reset_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_reglock_reset_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00022,deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,1,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_1:F6,H21-077,Duplicate,Sufficient,Mismatched read-side vs write-side lock bits in acct_wrapper allow data leakage through reads while writes are blocked.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_reglock_reset_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_reglock_reset_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00023,deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,2,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_2:F-06,H21-077,Duplicate,Sufficient,Access control memory (acct_mem) sizing mismatch with address space and output truncation may cause undefined behavior or unintended access grants.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_reglock_reset_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_reglock_reset_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00024,deepseek_v4_pro,baseline,h21_crypto_security_scope,1,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_1,Evidence_failure,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_1:F-001,H21-080,TP,Insufficient,Register lock bypass in reglk_wrapper via copy-paste bug: writing to locked register at address index 2 incorrectly copies value from register index 3 instead of preserving its own value.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_1\tool_trace.jsonl,Insufficient evidence,,,,,,,
E00025,deepseek_v4_pro,baseline,h21_crypto_security_scope,1,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_1,Evidence_failure,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_1:F-002,H21-075,TP,Insufficient,"JTAG unlock signal globally resets all register lock entries to zero (unlocked state), completely bypassing register lock protections.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_1\tool_trace.jsonl,Insufficient evidence,,,,,,,
E00026,deepseek_v4_pro,baseline,h21_crypto_security_scope,2,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_2:F01,H21-079,Duplicate,Insufficient,"reglk_wrapper.sv: Register lock data corruption at address index 2 — when reglk_ctrl[1] is high, a write to reglk_mem[2] incorrectly loads reglk_mem[3] instead of preserving reglk_mem[2].",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00027,deepseek_v4_pro,baseline,h21_crypto_security_scope,3,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_3,FP_finding,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_3:FINDING-002,,FP,Unsupported,"reglk_wrapper reset logic is gated by jtag_unlock; when JTAG is unlocked, register-lock memory is NOT cleared during system reset, allowing registered lock bits to persist across reset cycles.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_3\tool_trace.jsonl,FP finding,,,,,,,
E00028,deepseek_v4_pro,baseline,h21_dma_pkt_scope,1,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_1:FINDING-002,H21-031,Duplicate,Insufficient,reglk_wrapper write-side copy-paste bug at address 2 — lock reads wrong register (reglk_mem[3] instead of reglk_mem[2]),C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00029,deepseek_v4_pro,baseline,h21_dma_pkt_scope,1,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_1:FINDING-003,H21-031,Duplicate,Sufficient,AES0 reglk_ctrl bypassed by OR with we_flag_1 — external flag can force all lock bits high,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00030,deepseek_v4_pro,baseline,h21_dma_pkt_scope,1,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_1,Duplicate,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_1:FINDING-004,H21-031,Duplicate,Insufficient,acct_wrapper access control output forced high by we_flag OR — access permissions can be overridden,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\tool_trace.jsonl,Duplicate finding,,,,,,,
E00031,deepseek_v4_pro,baseline,h21_dma_pkt_scope,2,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2:F-001,H21-031,Duplicate,Sufficient,we_flag input bypasses access control permissions by forcing peripheral access bits to all-ones,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00032,deepseek_v4_pro,baseline,h21_dma_pkt_scope,2,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2:F-002,H21-031,Duplicate,Insufficient,Out-of-bounds register lock bit reference leaves three ACCT memory entries permanently unprotected,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00033,deepseek_v4_pro,baseline,h21_dma_pkt_scope,2,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2,Duplicate,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2:F-003,H21-031,Duplicate,Insufficient,Register lock value corruption due to copy-paste error in reglk_wrapper write logic,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\tool_trace.jsonl,Duplicate finding,,,,,,,
E00034,deepseek_v4_pro,baseline,h21_dma_pkt_scope,2,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2,FP_finding,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2:F-004,,FP,Unsupported,ACCT memory array size mismatch allows writes to out-of-bounds indices without functional effect,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\tool_trace.jsonl,FP finding,,,,,,,
E00035,deepseek_v4_pro,baseline,h21_dma_pkt_scope,3,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_3,Duplicate,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_3:F-001,H21-031,Duplicate,Sufficient,Access-control bypass via we_flag input in acct_wrapper,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_3\tool_trace.jsonl,Duplicate finding,,,,,,,
