model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-054,FN,,,,
claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-055,FN,,,,
claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-056,FN,,,,
claude_sonnet_4-6,baseline,h21_dma_pkt_scope,hackatdac21,H21-059,TP,1,baseline:claude_sonnet_4-6:h21_dma_pkt_scope:rep_1:FIND-002,Sufficient,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-060,FN,,,,
claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-064,FN,,,,
claude_sonnet_4-6,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-069,TP,1,baseline:claude_sonnet_4-6:h21_fuse_rng_rsa_expansion_scope:rep_1:FIND-002,Sufficient,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-072,TP,1,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-05,Sufficient,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-073,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-074,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-075,FN,,,,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-076,TP,1,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-01,Sufficient,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-077,TP,1,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-03,Sufficient,
claude_sonnet_4-6,baseline,h21_dma_pkt_scope,hackatdac21,H21-078,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-079,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-080,FN,,,,
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-081,FN,,,,
claude_sonnet_4-6,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-095,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-097,FN,,,,
claude_sonnet_4-6,baseline,h21_crypto_security_scope,hackatdac21,H21-098,FN,,,,
claude_sonnet_4-6,baseline,h21_access_lock_scope,hackatdac21,H21-099,FN,,,,
