run_id,input_scope,benchmark_id,case_id,case_visibility,case_result,matched_finding_ids,miss_reason,scorer_notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-049,visible,FN,,No finding sufficiently matches H19-049 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-050,visible,FN,,No finding sufficiently matches H19-050 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-051,visible,FN,,No finding sufficiently matches H19-051 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-054,visible,FN,,No finding sufficiently matches H19-054 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-056,visible,FN,,No finding sufficiently matches H19-056 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-005,visible,FN,,No finding sufficiently matches H19-005 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-047,visible,FN,,No finding sufficiently matches H19-047 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-048,visible,FN,,No finding sufficiently matches H19-048 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-049,visible,TP,F-004,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-050,visible,FN,,No finding sufficiently matches H19-050 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-051,visible,TP,F-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-054,visible,FN,,No finding sufficiently matches H19-054 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-056,visible,FN,,No finding sufficiently matches H19-056 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-005,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-047,visible,TP,FINDING-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-048,visible,FN,,No finding sufficiently matches H19-048 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-049,visible,FN,,No finding sufficiently matches H19-049 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-050,visible,FN,,No finding sufficiently matches H19-050 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-051,visible,FN,,No finding sufficiently matches H19-051 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-054,visible,FN,,No finding sufficiently matches H19-054 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,hackatdac19,H19-056,visible,FN,,No finding sufficiently matches H19-056 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-005,visible,TP,PERM-DM-AUTH-ALWAYS-TRUE,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-047,visible,TP,PERM-JTAG-DMI-WRITE-BYPASS,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-048,visible,FN,,No finding sufficiently matches H19-048 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-049,visible,FN,,No finding sufficiently matches H19-049 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-050,visible,FN,,No finding sufficiently matches H19-050 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-051,visible,TP,PERM-JTAG-PASS-STATE-NOT-RESET,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-054,visible,Partial,PERM-ROM2-JTAG-KEY-READ-WRITE,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,hackatdac19,H19-056,visible,FN,,No finding sufficiently matches H19-056 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-005,visible,TP,FINDING-001,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-047,visible,TP,FINDING-002,,Matched by finding-level score.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-048,visible,FN,,No finding sufficiently matches H19-048 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-049,visible,FN,,No finding sufficiently matches H19-049 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-050,visible,FN,,No finding sufficiently matches H19-050 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-051,visible,FN,,No finding sufficiently matches H19-051 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-054,visible,FN,,No finding sufficiently matches H19-054 hit criteria.,FN under current GT criteria.
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,hackatdac19,H19-056,visible,FN,,No finding sufficiently matches H19-056 hit criteria.,FN under current GT criteria.
