model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-048,TP,1;2,baseline:gpt_5_5:h19_debug_jtag_scope:rep_1:PERM-JTAG-002,Sufficient,
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-049,FN,,,,
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-050,FN,,,,
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-051,TP,2,baseline:gpt_5_5:h19_debug_jtag_scope:rep_2:F-003,Sufficient,
gpt_5_5,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,TP,1,baseline:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:FINDING-003,Insufficient,
gpt_5_5,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,FN,,,,
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-054,FN,,,,
gpt_5_5,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-055,FN,,,,
gpt_5_5,baseline,h19_debug_jtag_scope,hackatdac19,H19-056,FN,,,,
gpt_5_5,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-057,FN,,,,
gpt_5_5,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-058,TP,1;2;3,baseline:gpt_5_5:h19_aes_rom2_security_scope:rep_1:PERM-001,Sufficient,
gpt_5_5,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-001,TP,1;2;3,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:JTAG-AUTH-002,Sufficient,
gpt_5_5,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-002,TP,1;3,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:JTAG-AUTH-001,Sufficient,
gpt_5_5,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-003,FN,,,,
gpt_5_5,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-004,FN,,,,
gpt_5_5,baseline,h21_access_lock_scope,hackatdac21,H21-005,TP,1,baseline:gpt_5_5:h21_access_lock_scope:rep_1:FINDING-002,Sufficient,
gpt_5_5,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-007,FN,,,,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-009,FN,,,,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-012,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-013,FN,,,,
gpt_5_5,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-030,TP,2,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_2:FINDING-004,Sufficient,
gpt_5_5,baseline,h21_dma_pkt_scope,hackatdac21,H21-031,TP,1;3,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1:F5,Sufficient,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-032,FN,,,,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-033,FN,,,,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-034,FN,,,,
gpt_5_5,baseline,h21_access_lock_scope,hackatdac21,H21-035,TP,2;3,baseline:gpt_5_5:h21_access_lock_scope:rep_2:PERM-002,Sufficient,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-036,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-039,FN,,,,
gpt_5_5,baseline,h21_access_lock_scope,hackatdac21,H21-042,TP,1;2;3,baseline:gpt_5_5:h21_access_lock_scope:rep_1:FINDING-001,Sufficient,
gpt_5_5,baseline,h21_access_lock_scope,hackatdac21,H21-043,FN,,,,
gpt_5_5,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-045,FN,,,,
gpt_5_5,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-046,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-047,FN,,,,
gpt_5_5,baseline,h21_access_lock_scope,hackatdac21,H21-048,TP,1,baseline:gpt_5_5:h21_access_lock_scope:rep_1:FINDING-003,Sufficient,
gpt_5_5,baseline,h21_access_lock_scope,hackatdac21,H21-049,FN,,,,
gpt_5_5,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-052,TP,1;2;3,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1:FINDING_DMA_READ_PMP_BYPASS_WE_FLAG_LENGTH3,Sufficient,
gpt_5_5,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-053,TP,1;2,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:JTAG-AUTH-003,Sufficient,
gpt_5_5,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-054,FN,,,,
gpt_5_5,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-055,TP,1;2;3,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1:FINDING_DMA_STORE_PMP_RANGE_ACCUMULATION_FLAW,Sufficient,
gpt_5_5,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-056,FN,,,,
gpt_5_5,baseline,h21_dma_pkt_scope,hackatdac21,H21-059,TP,1;2,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1:F4,Sufficient,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-060,FN,,,,
gpt_5_5,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-064,FN,,,,
gpt_5_5,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-069,FN,,,,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-072,TP,1;2;3,baseline:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_1:FINDING-001,Sufficient,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-073,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-074,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-075,FN,,,,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-076,TP,2;3,baseline:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_2:F2,Sufficient,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-077,FN,,,,
gpt_5_5,baseline,h21_dma_pkt_scope,hackatdac21,H21-078,TP,3,baseline:gpt_5_5:h21_dma_pkt_scope:rep_3:PERM-PKT-FUSE-004,Sufficient,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-079,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-080,FN,,,,
gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-081,FN,,,,
gpt_5_5,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-095,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-097,FN,,,,
gpt_5_5,baseline,h21_crypto_security_scope,hackatdac21,H21-098,FN,,,,
gpt_5_5,baseline,h21_access_lock_scope,hackatdac21,H21-099,FN,,,,
