model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gemini_3.1_pro_preview,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-001,FN,,,,
gemini_3.1_pro_preview,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-002,FN,,,,
gemini_3.1_pro_preview,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-003,FN,,,,
gemini_3.1_pro_preview,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-004,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_lock_scope,hackatdac21,H21-005,FN,,,,
gemini_3.1_pro_preview,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-007,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-009,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-012,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-013,FN,,,,
gemini_3.1_pro_preview,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-030,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pkt_scope,hackatdac21,H21-031,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-032,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-033,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-034,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_lock_scope,hackatdac21,H21-035,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-036,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-039,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_lock_scope,hackatdac21,H21-042,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_lock_scope,hackatdac21,H21-043,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-045,FN,,,,
gemini_3.1_pro_preview,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-046,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-047,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_lock_scope,hackatdac21,H21-048,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_lock_scope,hackatdac21,H21-049,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-052,FN,,,,
gemini_3.1_pro_preview,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-053,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-054,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-055,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-056,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pkt_scope,hackatdac21,H21-059,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-060,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-064,FN,,,,
gemini_3.1_pro_preview,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-069,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-072,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-073,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-074,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-075,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-076,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-077,FN,,,,
gemini_3.1_pro_preview,baseline,h21_dma_pkt_scope,hackatdac21,H21-078,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-079,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-080,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-081,FN,,,,
gemini_3.1_pro_preview,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-095,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-097,FN,,,,
gemini_3.1_pro_preview,baseline,h21_crypto_security_scope,hackatdac21,H21-098,FN,,,,
gemini_3.1_pro_preview,baseline,h21_access_lock_scope,hackatdac21,H21-099,FN,,,,
