model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-005,TP,1;2;3,proposed:gpt_5_5:h19_debug_jtag_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-009,TP,3,proposed:gpt_5_5:h19_csr_privilege_scope:rep_3:F3,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-010,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F5,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-011,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-014,FN,,,,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-015,FN,,,,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-017,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-020,TP,1;2;3,proposed:gpt_5_5:h19_csr_privilege_scope:rep_1:F3,Sufficient,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-024,TP,1;2;3,proposed:gpt_5_5:h19_csr_privilege_scope:rep_1:F4,Sufficient,
gpt_5_5,proposed,h19_csr_privilege_scope,hackatdac19,H19-025,TP,2;3,proposed:gpt_5_5:h19_csr_privilege_scope:rep_2:F5,Sufficient,
gpt_5_5,proposed,h19_access_control_fabric_scope,hackatdac19,H19-041,TP,2;3,proposed:gpt_5_5:h19_access_control_fabric_scope:rep_2:F11,Insufficient,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-045,TP,1;2;3,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F4,Sufficient,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,TP,1;2;3,proposed:gpt_5_5:h19_jtag_debug_expansion_scope:rep_1:F7,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-047,FN,,,,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-048,FN,,,,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-049,FN,,,,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-050,TP,1;2;3,proposed:gpt_5_5:h19_debug_jtag_scope:rep_1:F10,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-051,TP,1;2;3,proposed:gpt_5_5:h19_debug_jtag_scope:rep_3:F6,Sufficient,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,FN,,,,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,TP,3,proposed:gpt_5_5:h19_jtag_debug_expansion_scope:rep_3:F9,Sufficient,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-054,FN,,,,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-055,FN,,,,
gpt_5_5,proposed,h19_debug_jtag_scope,hackatdac19,H19-056,TP,1;2,proposed:gpt_5_5:h19_debug_jtag_scope:rep_1:F4,Insufficient,
gpt_5_5,proposed,h19_jtag_debug_expansion_scope,hackatdac19,H19-057,FN,,,,
gpt_5_5,proposed,h19_aes_rom2_security_scope,hackatdac19,H19-058,TP,1;2,proposed:gpt_5_5:h19_aes_rom2_security_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-001,TP,1;2;3,proposed:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-002,TP,3,proposed:gpt_5_5:h21_jtag_auth_expansion_scope:rep_3:F5,Sufficient,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-003,FN,,,,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-004,FN,,,,
gpt_5_5,proposed,h21_access_lock_scope,hackatdac21,H21-005,TP,1;2;3,proposed:gpt_5_5:h21_access_lock_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-007,TP,1;2,proposed:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:F3,Sufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-009,TP,1;2,proposed:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_2:F6,Sufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-012,FN,,,,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-013,FN,,,,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-030,FN,,,,
gpt_5_5,proposed,h21_dma_pkt_scope,hackatdac21,H21-031,TP,1;2;3,proposed:gpt_5_5:h21_dma_pkt_scope:rep_2:F1,Sufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-032,TP,2,proposed:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_2:F1,Sufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-033,TP,1,proposed:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-034,FN,,,,
gpt_5_5,proposed,h21_access_lock_scope,hackatdac21,H21-035,TP,1;2;3,proposed:gpt_5_5:h21_access_lock_scope:rep_1:F2,Sufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-036,TP,2;3,proposed:gpt_5_5:h21_crypto_security_scope:rep_2:F7,Insufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-039,FN,,,,
gpt_5_5,proposed,h21_access_lock_scope,hackatdac21,H21-042,TP,1;2,proposed:gpt_5_5:h21_access_lock_scope:rep_2:F5,Sufficient,
gpt_5_5,proposed,h21_access_lock_scope,hackatdac21,H21-043,FN,,,,
gpt_5_5,proposed,h21_dma_pmp_expansion_scope,hackatdac21,H21-045,FN,,,,
gpt_5_5,proposed,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-046,TP,1;2;3,proposed:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-047,TP,1;2;3,proposed:gpt_5_5:h21_crypto_security_scope:rep_1:F3,Insufficient,
gpt_5_5,proposed,h21_access_lock_scope,hackatdac21,H21-048,TP,1;2;3,proposed:gpt_5_5:h21_access_lock_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h21_access_lock_scope,hackatdac21,H21-049,TP,1;2,proposed:gpt_5_5:h21_access_lock_scope:rep_2:F9,Sufficient,
gpt_5_5,proposed,h21_dma_pmp_expansion_scope,hackatdac21,H21-052,TP,1;2;3,proposed:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1:F4,Sufficient,
gpt_5_5,proposed,h21_jtag_auth_expansion_scope,hackatdac21,H21-053,TP,1,proposed:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:F4,Insufficient,
gpt_5_5,proposed,h21_dma_pmp_expansion_scope,hackatdac21,H21-054,FN,,,,
gpt_5_5,proposed,h21_dma_pmp_expansion_scope,hackatdac21,H21-055,TP,1;2;3,proposed:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1:F6,Sufficient,
gpt_5_5,proposed,h21_dma_pmp_expansion_scope,hackatdac21,H21-056,FN,,,,
gpt_5_5,proposed,h21_dma_pkt_scope,hackatdac21,H21-059,TP,1;2;3,proposed:gpt_5_5:h21_dma_pkt_scope:rep_1:F4,Sufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-060,TP,1;2,proposed:gpt_5_5:h21_crypto_security_scope:rep_1:F5,Insufficient,
gpt_5_5,proposed,h21_dma_pmp_expansion_scope,hackatdac21,H21-064,TP,1;2;3,proposed:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1:F1,Sufficient,
gpt_5_5,proposed,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-069,TP,1;2;3,proposed:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_1:F7,Sufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-072,TP,1;2;3,proposed:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_1:F8,Sufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-073,FN,,,,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-074,FN,,,,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-075,TP,1;2;3,proposed:gpt_5_5:h21_crypto_security_scope:rep_1:F6,Insufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-076,TP,3,proposed:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_3:F3,Sufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-077,TP,1;2;3,proposed:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_1:F5,Sufficient,
gpt_5_5,proposed,h21_dma_pkt_scope,hackatdac21,H21-078,TP,1;2;3,proposed:gpt_5_5:h21_dma_pkt_scope:rep_1:F8,Sufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-079,TP,2,proposed:gpt_5_5:h21_crypto_security_scope:rep_2:F5,Insufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-080,TP,1,proposed:gpt_5_5:h21_crypto_security_scope:rep_1:F4,Insufficient,
gpt_5_5,proposed,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-081,FN,,,,
gpt_5_5,proposed,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-095,TP,3,proposed:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_3:F7,Insufficient,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-097,FN,,,,
gpt_5_5,proposed,h21_crypto_security_scope,hackatdac21,H21-098,FN,,,,
gpt_5_5,proposed,h21_access_lock_scope,hackatdac21,H21-099,FN,,,,
