fp_cluster_id,model_family,method_name,input_scope,repetition,fp_count,representative_finding_uid,claimed_files,claimed_modules,claimed_signals_or_registers,example_summaries
FPC-0011,claude_sonnet_4-6,baseline,h19_debug_jtag_scope,1,1,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-04,src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,secure_reg; rom2_we; always_ff write path; axi2mem to rom2 wiring; key extraction assignments,"rom2 'secure' key store accepts AXI write transactions with no access control, allowing unprivileged software to overwrite JTAG and AES keys"
FPC-0012,claude_sonnet_4-6,baseline,h19_debug_jtag_scope,1,1,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-05,src/csr_regfile.sv,csr_regfile,csr_exception_o; CSR privilege check condition; Commented-out original check,"CSR privilege level check has a deliberate bypass for CSR_MEPC, allowing any privilege level to read/write the Machine Exception PC register"
FPC-0013,claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,1,1,baseline:claude_sonnet_4-6:h19_jtag_debug_expansion_scope:rep_1:FIND-001,src/debug/dmi_jtag.sv; src/csr_regfile.sv,dmi_jtag; csr_regfile,"pass_chk; pass_chk, umode_o; priv_lvl_o, umode_i; DTM_PASS handler; umode_o assignment; priv_lvl_o","JTAG password check (`pass_chk`) is a combinatorial wire — authentication result does not persist, and the umode privilege elevation is transient/glitchy"
FPC-0014,claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,1,1,baseline:claude_sonnet_4-6:h19_jtag_debug_expansion_scope:rep_1:FIND-002,src/debug/dmi_jtag.sv; src/debug/dm_csrs.sv; src/debug/dm_pkg.sv,dmi_jtag; dm_csrs; dm (package),"state_d, DTM_WRITE path; Idle state FSM; dmstatus.authenticated; DTM_PASS = 2'h3","JTAG DTM_WRITE operations are not gated by the password check (`pass_chk`), allowing unauthenticated debug register writes"
FPC-0015,claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,1,1,baseline:claude_sonnet_4-6:h19_jtag_debug_expansion_scope:rep_1:FIND-003,src/csr_regfile.sv,csr_regfile,"csr_exception_o, priv_lvl_o, CSR_MEPC; Privilege check block; Commented original check","CSR privilege check unconditionally exempts `MEPC` (machine EPC) from the privilege-level enforcement, allowing lower-privilege software to read/write a machine-mode CSR"
FPC-0016,claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,1,1,baseline:claude_sonnet_4-6:h19_jtag_debug_expansion_scope:rep_1:FIND-004,src/rom2/rom2.sv; tb/ariane_peripherals.sv,rom2; ariane_peripherals,"secure_reg, we_i; jtag_key, access_ctrl_reg; always_ff write path; jtag_key and access_ctrl_reg assignment; ROM comment vs. actual behavior",The `rom2` secure key register (holding JTAG keys and access-control tables) is software-writable via the AXI bus with no privilege or lock protection
FPC-0017,claude_sonnet_4-6,baseline,h21_access_lock_scope,1,1,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F1,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2]; reglk_mem[2] write case,"reglk_wrapper.sv write-lock for reglk_mem[2] checks bit [1] but uses reglk_mem[3] as the retained value instead of reglk_mem[2], silently corrupting register slot 2 when locked."
FPC-0018,claude_sonnet_4-6,baseline,h21_access_lock_scope,1,1,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F3,piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv,hmac_wrapper,"key, ikey_hash, okey_hash; key / ikey_hash / okey_hash assignments; ikey_hash_bytes read path","hmac_wrapper.sv: when debug_mode_i is asserted, okey_hash is zeroed but ikey_hash is left intact and readable. Additionally, the key register (key0) is zeroed but the ikey_hash_bytes registers used for the inner-key hash remain writable and are exposed on the read side regardless of debug mode."
FPC-0019,claude_sonnet_4-6,baseline,h21_access_lock_scope,1,1,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F4,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,riscv_peripherals,rom_rdata; rom_rdata assignment,"riscv_peripherals.sv: the bootrom mux always selects rom_rdata_linux regardless of the ariane_boot_sel_i control signal, making the baremetal boot path permanently inaccessible."
FPC-0020,claude_sonnet_4-6,baseline,h21_access_lock_scope,1,1,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F6,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper,acc_ctrl_o; we_flag_0 connection,"acct_wrapper.sv: the we_flag signal is OR'd into the lowest 8 bits of acc_ctrl_o (acct_mem[0]), which can forcibly override access control bits and grant write permission to a peripheral regardless of the programmed access-control table value."
FPC-0021,claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-04,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,acct_mem[00..08]; Write lock for acct_mem[00..02]; Read lock for acct_mem[00..02]; Write lock for acct_mem[03..05]; Read lock for acct_mem[03..05]; Write lock for acct_mem[06..08]; Read lock for acct_mem[06..08],acct_wrapper read-lock and write-lock bits are mismatched for acct_mem[0..8]: different bits protect read vs. write
FPC-0022,claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-06,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,riscv_peripherals,rom_rdata; rom_rdata mux assignment; bootrom_bm instantiation,"Boot ROM mux always selects rom_rdata_linux regardless of ariane_boot_sel_i, effectively ignoring the baremetal boot option"
FPC-0023,claude_sonnet_4-6,baseline,h21_crypto_security_scope,1,2,baseline:claude_sonnet_4-6:h21_crypto_security_scope:rep_1:F1,piton/design/chip/tile/ariane/src/aes0/aes0_wrapper.sv; piton/design/chip/tile/ariane/src/aes1/aes1_wrapper.sv; piton/design/chip/tile/ariane/src/aes2/aes2_wrapper.sv; piton/design/chip/tile/ariane/src/hmac/hmac_wrapper.sv,aes0_wrapper; aes1_wrapper; aes2_wrapper; hmac_wrapper,"key_big0, key_big1, key_big2; core_key0, core_key1, core_key2; cii_K0, cii_K1, cii_K2; key_big0/key_big1/key_big2; core_key0/core_key1/core_key2; cii_K0/cii_K1/cii_K2; key, ikey_hash, okey_hash; key / ikey_hash / okey_hash","AES0, AES1, and AES2: Third key slot (key2/cii_K2/core_key2) is NOT zeroed when debug_mode_i is asserted, while key0 and key1 are correctly suppressed
---
HMAC: Inner key hash (ikey_hash) is NOT zeroed when debug_mode_i is asserted, while the HMAC key (key) and outer key hash (okey_hash) are correctly suppressed"
FPC-0024,claude_sonnet_4-6,baseline,h21_crypto_security_scope,1,1,baseline:claude_sonnet_4-6:h21_crypto_security_scope:rep_1:F3,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2]; reglk_mem[2] write case,"REGLK: reglk_mem[2] write path silently stores reglk_mem[3] instead of wdata, making the register permanently unwritable via normal AXI access"
FPC-0025,claude_sonnet_4-6,baseline,h21_crypto_security_scope,1,1,baseline:claude_sonnet_4-6:h21_crypto_security_scope:rep_1:F4,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[0]; reglk_mem write cases,"REGLK: reglk_mem[0] write is protected by reglk_ctrl[3] instead of reglk_ctrl[1] used by all other entries, creating an inconsistent and likely incorrect lock policy"
FPC-0026,claude_sonnet_4-6,baseline,h21_crypto_security_scope,1,1,baseline:claude_sonnet_4-6:h21_crypto_security_scope:rep_1:F5,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv,acct_wrapper,acct_mem[09]; acct_mem[09] write; acct_mem[09] read,"ACCT: acct_mem[09] is write-protected by reglk_ctrl[7] but read-protected by reglk_ctrl[6], creating an asymmetric lock policy that can allow unauthorized reads or writes"
FPC-0027,claude_sonnet_4-6,baseline,h21_dma_pkt_scope,1,1,baseline:claude_sonnet_4-6:h21_dma_pkt_scope:rep_1:FIND-001,piton/design/chip/tile/ariane/src/reglk/reglk_wrapper.sv,reglk_wrapper,reglk_mem[2]; always @(posedge clk_i) write case,Wrong register retained on locked write in reglk_wrapper: address slot 2 reads back reglk_mem[3] instead of reglk_mem[2] on a lock-protect hit
FPC-0028,claude_sonnet_4-6,baseline,h21_dma_pkt_scope,1,1,baseline:claude_sonnet_4-6:h21_dma_pkt_scope:rep_1:FIND-003,piton/design/chip/tile/ariane/src/acct/acct_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,acct_wrapper; riscv_peripherals,acc_ctrl_o; assign acc_ctrl_o; .we_flag ( we_flag_0 ); acc_ctrl_c generation,"acct_wrapper forces lowest 8 bits of acc_ctrl_o open via we_flag OR, unconditionally overriding access control for all privilege levels on peripheral 0"
FPC-0029,claude_sonnet_4-6,baseline,h21_dma_pkt_scope,1,1,baseline:claude_sonnet_4-6:h21_dma_pkt_scope:rep_1:FIND-004,piton/design/chip/tile/ariane/src/pkt/pkt_wrapper.sv,pkt_wrapper,req_i (pkt instantiation); pkt instance i_pkt,"pkt_wrapper unconditionally drives PKT sub-module req_i=1'b1, allowing continuous fuse memory access regardless of software control"
FPC-0030,claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_dma_pmp_expansion_scope:rep_1:FIND-001,piton/design/chip/tile/ariane/src/dma/dma.sv; piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,dma; dma_wrapper; riscv_peripherals,"pmp_allow_new, we_flag, length_d; we_flag; we_flag_3; pmp_allow_new assignment in CTRL_CHECK_LOAD; we_flag input port; pmp instance priv_lvl_i assignment; dma_wrapper instantiation; pmp_allow_reg check at end of CTRL_CHECK_LOAD",DMA PMP Check Bypassed via `we_flag` Backdoor Condition
FPC-0031,claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_dma_pmp_expansion_scope:rep_1:FIND-002,piton/design/chip/tile/ariane/src/dma/dma.sv; piton/design/chip/tile/ariane/src/pmp/pmp.sv; piton/design/chip/tile/ariane/src/dma/dma_wrapper.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,dma; pmp; dma_wrapper; riscv_peripherals,"pmpcfg_i, pmpaddr_i; i_pmp_data; NR_ENTRIES, conf_i; pmpcfg_i port declaration; pmp instantiation with NR_ENTRIES=16; pmp module parameter NR_ENTRIES; pmpcfg_i and pmpaddr_i port declarations; dma_wrapper connections",DMA `pmpcfg_i` Port Width Mismatch Causes Incomplete/Incorrect PMP Configuration (PMP Scope Expansion)
FPC-0032,claude_sonnet_4-6,baseline,h21_fuse_rng_rsa_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_fuse_rng_rsa_expansion_scope:rep_1:FIND-001,piton/design/chip/tile/ariane/src/pkt/pkt_wrapper.sv; piton/design/chip/tile/ariane/src/fuse_mem/fuse_mem.sv,pkt_wrapper; fuse_mem,rdata / fuse_rdata_i; rdata default assignment; case 4: reglk_ctrl_i[6] gating; default case with fuse_addr_o range check; fuse_mem contents,PKT Wrapper exposes raw fuse memory data at unconstrained default addresses without any register lock check
FPC-0033,claude_sonnet_4-6,baseline,h21_fuse_rng_rsa_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_fuse_rng_rsa_expansion_scope:rep_1:FIND-003,piton/design/chip/tile/ariane/src/rand_num/rng_wrapper.sv,rng_wrapper,"seed[0:3], poly128_big, poly64_big, poly32_big, poly16_big, seed128_big_o, seed64_big_o, seed32_big_o, seed16_big_o, rand_seg_o, cs_state_o; seed[3:0] read mux (addresses 0-3); poly128/64/32/16 read mux (addresses 4-11); seed128/64/32/16_big_o, rand_seg_o, cs_state_o read mux (addresses 15-25); rand_num_big read (addresses 12-13)","RNG Wrapper debug mode unconditionally exposes all internal seeds and state on read-side, bypassing register lock bits"
FPC-0034,claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_jtag_auth_expansion_scope:rep_1:VULN-001,piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv; piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,dmi_jtag; riscv_peripherals,"pass_check, we_flag; Idle state read condition; .we_flag (we_flag_4) port connection",Operator precedence bug in JTAG read-access check allows unauthenticated DMI reads when we_flag=0
FPC-0035,claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,1,1,baseline:claude_sonnet_4-6:h21_jtag_auth_expansion_scope:rep_1:VULN-004,piton/design/chip/tile/ariane/openpiton/riscv_peripherals.sv,riscv_peripherals,"rom_rdata, ariane_boot_sel_i; assign rom_rdata = (ariane_boot_sel_i) ? rom_rdata_linux : rom_rdata_linux",Boot ROM mux is broken — always selects linux boot image regardless of ariane_boot_sel_i selector
