failure_uid,model_family,method_name,input_scope,repetition,run_id,failure_object_type,related_finding_uid,related_case_id,detection_match,evidence_quality,summary,final_answer_path,tool_trace_path,candidate_reason
E00011,gpt_5_5,baseline,h21_access_lock_scope,2,baseline:gpt_5_5:h21_access_lock_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_access_lock_scope:rep_2:PERM-004,H21-035,Duplicate,Sufficient,PKT exposes key/fuse-related reads using default-unlocked lock bits and default-permissive access control.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_lock_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_lock_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00012,gpt_5_5,baseline,h21_access_lock_scope,3,baseline:gpt_5_5:h21_access_lock_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_access_lock_scope:rep_3:PERM-004,H21-035,Duplicate,Sufficient,PKT/fuse-derived values are readable by default when access-control and register-lock protections are unset after reset.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_lock_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_lock_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00013,gpt_5_5,baseline,h21_access_lock_scope,3,baseline:gpt_5_5:h21_access_lock_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_access_lock_scope:rep_3:PERM-005,H21-035,Duplicate,Sufficient,Suspicious REGLK locked-write assignment may corrupt reglk_mem[2] by copying reglk_mem[3].,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_lock_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_lock_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00014,gpt_5_5,baseline,h21_access_reglock_reset_expansion_scope,2,baseline:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_access_reglock_reset_expansion_scope:rep_2:F1,H21-081,Duplicate,Sufficient,"Software-accessible reset controller can reset ACCT and REGLK, clearing or weakening permission controls.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_reglock_reset_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_access_reglock_reset_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00015,gpt_5_5,baseline,h21_crypto_security_scope,2,baseline:gpt_5_5:h21_crypto_security_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_crypto_security_scope:rep_2:PERM-003,H21-073,Duplicate,Sufficient,External override/unlock signals can force permission bits or clear lock state without visible authorization in the inspected RTL.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_crypto_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_crypto_security_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00016,gpt_5_5,baseline,h21_crypto_security_scope,3,baseline:gpt_5_5:h21_crypto_security_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_crypto_security_scope:rep_3:PERM-002,H21-074,Duplicate,Sufficient,"`we_flag` can force access-control permission bits high, potentially overriding programmed deny policy.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_crypto_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_crypto_security_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00017,gpt_5_5,baseline,h21_crypto_security_scope,3,baseline:gpt_5_5:h21_crypto_security_scope:rep_3,Evidence_failure,baseline:gpt_5_5:h21_crypto_security_scope:rep_3:PERM-003,H21-080,TP,Insufficient,Register-lock enforcement contains an apparent index bug and debug unlock clears lock state.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_crypto_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_crypto_security_scope\rep_3\tool_trace.jsonl,Insufficient evidence
E00018,gpt_5_5,baseline,h21_dma_pkt_scope,1,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1:F1,H21-031,Duplicate,Sufficient,Access-control registers reset to all permissions enabled.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00019,gpt_5_5,baseline,h21_dma_pkt_scope,1,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1:F2,H21-031,Duplicate,Sufficient,Access-control output packing and memory sizing appear inconsistent with NB_PERIPHERALS=14.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00020,gpt_5_5,baseline,h21_dma_pkt_scope,1,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_dma_pkt_scope:rep_1:F3,H21-031,Duplicate,Sufficient,jtag_unlock clears global register-lock state.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00021,gpt_5_5,baseline,h21_dma_pkt_scope,2,baseline:gpt_5_5:h21_dma_pkt_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_dma_pkt_scope:rep_2:PERM-ACCT-001,H21-031,Duplicate,Sufficient,"Access-control table sizing and output mapping are inconsistent with the top-level 14-peripheral permission matrix, creating a permission-enforcement vulnerability.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00022,gpt_5_5,baseline,h21_dma_pkt_scope,3,baseline:gpt_5_5:h21_dma_pkt_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_dma_pkt_scope:rep_3:PERM-ACCT-MISMAP-001,H21-031,Duplicate,Sufficient,"Access-control table is mis-sized and likely mis-mapped, risking incorrect peripheral permissions.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00023,gpt_5_5,baseline,h21_dma_pkt_scope,3,baseline:gpt_5_5:h21_dma_pkt_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_dma_pkt_scope:rep_3:PERM-REGLK-CORRUPT-005,H21-031,Duplicate,Insufficient,reglk_wrapper has a copy/paste bug that can modify reglk_mem[2] even when locked.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00024,gpt_5_5,baseline,h21_dma_pkt_scope,3,baseline:gpt_5_5:h21_dma_pkt_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_dma_pkt_scope:rep_3:PERM-JTAG-UNLOCK-006,H21-031,Duplicate,Sufficient,"jtag_unlock clears register-lock memory, creating a debug-mediated lock bypass path.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pkt_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00025,gpt_5_5,baseline,h21_dma_pmp_expansion_scope,1,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1:FINDING_DMA_STORE_PMP_RANGE_ACCUMULATION_FLAW,H21-045,Duplicate,Sufficient,DMA destination-write PMP checking does not accumulate permission denial across the full transfer range.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00026,gpt_5_5,baseline,h21_dma_pmp_expansion_scope,1,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_1:FINDING_PMP_NAPOT_NA4_MATCH_SUSPICIOUS,H21-045,Duplicate,Sufficient,PMP NA4/NAPOT region matching implementation is suspicious and may incorrectly enforce permissions.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00027,gpt_5_5,baseline,h21_dma_pmp_expansion_scope,2,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_2:FINDING-001,H21-052,Duplicate,Sufficient,DMA source-read PMP permission can be bypassed when `we_flag && length_d == 3`.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00028,gpt_5_5,baseline,h21_dma_pmp_expansion_scope,3,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_dma_pmp_expansion_scope:rep_3:F2,H21-045,Duplicate,Sufficient,DMA destination/write PMP checks are not cumulative across the full transfer range.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_dma_pmp_expansion_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00029,gpt_5_5,baseline,h21_fuse_rng_rsa_expansion_scope,1,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_1:FINDING-002,H21-046,Duplicate,Sufficient,fuse_mem containing secure data has no intrinsic permission enforcement and relies entirely on external access-control logic.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00030,gpt_5_5,baseline,h21_fuse_rng_rsa_expansion_scope,2,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_2:PERM-002,H21-046,Duplicate,Sufficient,Access-control alias grants PKT access when peripheral 4 is permitted.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00031,gpt_5_5,baseline,h21_fuse_rng_rsa_expansion_scope,2,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_2:PERM-003,H21-046,Duplicate,Sufficient,RNG debug mode bypasses register-lock protections for sensitive state and configuration.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00032,gpt_5_5,baseline,h21_fuse_rng_rsa_expansion_scope,3,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_3,Duplicate,baseline:gpt_5_5:h21_fuse_rng_rsa_expansion_scope:rep_3:FINDING-003,H21-046,Duplicate,Sufficient,"Core permission state generators for access-control and register-lock policy are missing from the visible source, preventing verification of their protections.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_fuse_rng_rsa_expansion_scope\rep_3\tool_trace.jsonl,Duplicate finding
E00033,gpt_5_5,baseline,h21_jtag_auth_expansion_scope,1,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:JTAG-AUTH-001,H21-053,Duplicate,Sufficient,"DTM_PASS authentication operation can enter the normal DMI Write state without a retained pass_mode flag, enabling unauthenticated DMI writes.",C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00034,gpt_5_5,baseline,h21_jtag_auth_expansion_scope,1,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1,Duplicate,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_1:JTAG-AUTH-002,H21-053,Duplicate,Sufficient,The JTAG authentication result pass_check is not latched; it is a transient combinational pulse used as the unlock and permission signal.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_1\tool_trace.jsonl,Duplicate finding
E00035,gpt_5_5,baseline,h21_jtag_auth_expansion_scope,2,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_2:FINDING-002,H21-053,Duplicate,Sufficient,JTAG authentication success is combinational/transient and not persistently latched.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00036,gpt_5_5,baseline,h21_jtag_auth_expansion_scope,2,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_2:FINDING-003,H21-053,Duplicate,Sufficient,fuse_mem exposes sensitive fuse contents through a read interface without local authorization checks.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
E00037,gpt_5_5,baseline,h21_jtag_auth_expansion_scope,2,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_2,Duplicate,baseline:gpt_5_5:h21_jtag_auth_expansion_scope:rep_2:FINDING-004,H21-053,Duplicate,Sufficient,The JTAG HMAC authentication key is hardcoded as a literal RTL constant.,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h21_jtag_auth_expansion_scope\rep_2\tool_trace.jsonl,Duplicate finding
