model_family,method_name,input_scope,repetition,matched_case_id,detection_match,representative_finding_uid,duplicate_count,fp_count,example_summaries
claude_sonnet_4-6,baseline,h19_access_control_fabric_scope,1,H19-001,TP,baseline:claude_sonnet_4-6:h19_access_control_fabric_scope:rep_1:FIND-002,0,0,"Hardcoded bypass in connectivity_mapping grants PLIC access whenever CLINT access is permitted, regardless of the access-control policy"
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,1,,FP,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-003,0,1,"AXI access-control policy is loaded from the writable ROM2 register, creating a circular trust failure that enables full access control bypass"
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,1,H19-010,TP,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-001,0,0,Full 192-bit AES key readable from bus-mapped registers with no access control or privilege check
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,1,H19-011,TP,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-005,0,0,"AES intermediate round state is exposed via bus-readable registers, enabling cryptanalytic side-channel attacks"
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,1,H19-045,Duplicate,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-004,1,0,ROM2 key material is returned unconditionally on AXI bus reads with no read-access gating
claude_sonnet_4-6,baseline,h19_aes_rom2_security_scope,1,H19-045,TP,baseline:claude_sonnet_4-6:h19_aes_rom2_security_scope:rep_1:FIND-002,0,0,ROM2 'secure' fuse register is unconditionally writable from the AXI bus with no write-protection mechanism
claude_sonnet_4-6,baseline,h19_csr_privilege_scope,1,H19-009,TP,baseline:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:FINDING-001,0,0,"External input `umode_i`, when asserted, unconditionally forces `priv_lvl_o` to Machine mode (PRIV_LVL_M = 2'b11), creating a hardware privilege-escalation backdoor accessible from outside the processor core."
claude_sonnet_4-6,baseline,h19_csr_privilege_scope,1,H19-020,TP,baseline:claude_sonnet_4-6:h19_csr_privilege_scope:rep_1:FINDING-002,0,0,"The CSR privilege enforcement check unconditionally exempts `CSR_MEPC` (Machine Exception PC, address 0x341) from privilege level verification, allowing Supervisor-mode or User-mode code to read and write this M-mode register without raising an illegal instruction exception."
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,1,,FP,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-01,0,3,"JTAG password check uses a combinational (non-registered) pass_chk signal — authenticated state is lost every clock cycle
---
rom2 'secure' key store accepts AXI write transactions with no access control, allowing unprivileged software to overwrite JTAG and AES keys
---
CSR privilege level check has a deliberate bypass for CSR_MEPC, allowing any privilege level to read/write the Machine Exception PC register"
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,1,H19-047,TP,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-02,0,0,JTAG DTM_WRITE operations bypass the password authentication check entirely
claude_sonnet_4-6,baseline,h19_debug_jtag_scope,1,H19-048,TP,baseline:claude_sonnet_4-6:h19_debug_jtag_scope:rep_1:FIND-03,0,0,Successful JTAG password match unconditionally forces processor privilege to Machine Mode via umode_i signal in csr_regfile
claude_sonnet_4-6,baseline,h19_jtag_debug_expansion_scope,1,,FP,baseline:claude_sonnet_4-6:h19_jtag_debug_expansion_scope:rep_1:FIND-001,0,4,"JTAG password check (`pass_chk`) is a combinatorial wire — authentication result does not persist, and the umode privilege elevation is transient/glitchy
---
JTAG DTM_WRITE operations are not gated by the password check (`pass_chk`), allowing unauthenticated debug register writes
---
CSR privilege check unconditionally exempts `MEPC` (machine EPC) from the privilege-level enforcement, allowing lower-privilege software to read/write a machine-mode CSR
---
The `rom2` secure key register (holding JTAG keys and access-control tables) is software-writable via the AXI bus with no privilege or lock protection"
claude_sonnet_4-6,baseline,h21_access_lock_scope,1,,FP,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F1,0,4,"reglk_wrapper.sv write-lock for reglk_mem[2] checks bit [1] but uses reglk_mem[3] as the retained value instead of reglk_mem[2], silently corrupting register slot 2 when locked.
---
hmac_wrapper.sv: when debug_mode_i is asserted, okey_hash is zeroed but ikey_hash is left intact and readable. Additionally, the key register (key0) is zeroed but the ikey_hash_bytes registers used for the inner-key hash remain writable and are exposed on the read side regardless of debug mode.
---
riscv_peripherals.sv: the bootrom mux always selects rom_rdata_linux regardless of the ariane_boot_sel_i control signal, making the baremetal boot path permanently inaccessible.
---
acct_wrapper.sv: the we_flag signal is OR'd into the lowest 8 bits of acc_ctrl_o (acct_mem[0]), which can forcibly override access control bits and grant write permission to a peripheral regardless of the programmed access-control table value."
claude_sonnet_4-6,baseline,h21_access_lock_scope,1,H21-042,TP,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F5,0,0,"acct_wrapper.sv initializes all acct_mem entries to 0xFFFFFFFF on reset, granting full all-permissions access to all peripherals until software explicitly programs the table, creating an insecure default open-access window."
claude_sonnet_4-6,baseline,h21_access_lock_scope,1,H21-043,TP,baseline:claude_sonnet_4-6:h21_access_lock_scope:rep_1:F2,0,0,"acct_wrapper.sv references bit [13] of an 8-bit reglk_ctrl_i input for write-locking acct_mem[03..05], which is always 0 (undriven/out-of-range), leaving those entries permanently unlocked."
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,1,,FP,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-04,0,2,"acct_wrapper read-lock and write-lock bits are mismatched for acct_mem[0..8]: different bits protect read vs. write
---
Boot ROM mux always selects rom_rdata_linux regardless of ariane_boot_sel_i, effectively ignoring the baremetal boot option"
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,1,H21-072,TP,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-05,0,0,"reglk_wrapper reset condition includes jtag_unlock, allowing JTAG to clear all register-lock values; rst_ctrl and acct_wrapper do not have equivalent jtag_unlock reset expansion"
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,1,H21-076,Duplicate,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-02,1,0,reglk_mem[2] write case assigns reglk_mem[3] (wrong source) instead of preserving reglk_mem[2] when locked
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,1,H21-076,TP,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-01,0,0,reglk_mem[0] write-lock uses wrong bit: reglk_ctrl[3] instead of reglk_ctrl[1]
claude_sonnet_4-6,baseline,h21_access_reglock_reset_expansion_scope,1,H21-077,TP,baseline:claude_sonnet_4-6:h21_access_reglock_reset_expansion_scope:rep_1:FIND-03,0,0,"acct_wrapper write-lock for acct_mem[3..5] uses reglk_ctrl[13], which is out-of-range for an 8-bit reglk_ctrl_i input"
claude_sonnet_4-6,baseline,h21_crypto_security_scope,1,,FP,baseline:claude_sonnet_4-6:h21_crypto_security_scope:rep_1:F1,0,5,"AES0, AES1, and AES2: Third key slot (key2/cii_K2/core_key2) is NOT zeroed when debug_mode_i is asserted, while key0 and key1 are correctly suppressed
---
HMAC: Inner key hash (ikey_hash) is NOT zeroed when debug_mode_i is asserted, while the HMAC key (key) and outer key hash (okey_hash) are correctly suppressed
---
REGLK: reglk_mem[2] write path silently stores reglk_mem[3] instead of wdata, making the register permanently unwritable via normal AXI access
---
REGLK: reglk_mem[0] write is protected by reglk_ctrl[3] instead of reglk_ctrl[1] used by all other entries, creating an inconsistent and likely incorrect lock policy
---
ACCT: acct_mem[09] is write-protected by reglk_ctrl[7] but read-protected by reglk_ctrl[6], creating an asymmetric lock policy that can allow unauthorized reads or writes"
claude_sonnet_4-6,baseline,h21_dma_pkt_scope,1,,FP,baseline:claude_sonnet_4-6:h21_dma_pkt_scope:rep_1:FIND-001,0,3,"Wrong register retained on locked write in reglk_wrapper: address slot 2 reads back reglk_mem[3] instead of reglk_mem[2] on a lock-protect hit
---
acct_wrapper forces lowest 8 bits of acc_ctrl_o open via we_flag OR, unconditionally overriding access control for all privilege levels on peripheral 0
---
pkt_wrapper unconditionally drives PKT sub-module req_i=1'b1, allowing continuous fuse memory access regardless of software control"
claude_sonnet_4-6,baseline,h21_dma_pkt_scope,1,H21-059,TP,baseline:claude_sonnet_4-6:h21_dma_pkt_scope:rep_1:FIND-002,0,0,Unguarded fuse memory data leak in pkt_wrapper default read path: fuse_rdata_i is returned as rdata without any register-lock check
claude_sonnet_4-6,baseline,h21_dma_pmp_expansion_scope,1,,FP,baseline:claude_sonnet_4-6:h21_dma_pmp_expansion_scope:rep_1:FIND-001,0,2,"DMA PMP Check Bypassed via `we_flag` Backdoor Condition
---
DMA `pmpcfg_i` Port Width Mismatch Causes Incomplete/Incorrect PMP Configuration (PMP Scope Expansion)"
claude_sonnet_4-6,baseline,h21_fuse_rng_rsa_expansion_scope,1,,FP,baseline:claude_sonnet_4-6:h21_fuse_rng_rsa_expansion_scope:rep_1:FIND-001,0,2,"PKT Wrapper exposes raw fuse memory data at unconstrained default addresses without any register lock check
---
RNG Wrapper debug mode unconditionally exposes all internal seeds and state on read-side, bypassing register lock bits"
claude_sonnet_4-6,baseline,h21_fuse_rng_rsa_expansion_scope,1,H21-069,TP,baseline:claude_sonnet_4-6:h21_fuse_rng_rsa_expansion_scope:rep_1:FIND-002,0,0,RNG Wrapper debug mode unconditionally bypasses register lock on polynomial write operations
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,1,,FP,baseline:claude_sonnet_4-6:h21_jtag_auth_expansion_scope:rep_1:VULN-001,0,2,"Operator precedence bug in JTAG read-access check allows unauthenticated DMI reads when we_flag=0
---
Boot ROM mux is broken — always selects linux boot image regardless of ariane_boot_sel_i selector"
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,1,H21-030,Duplicate,baseline:claude_sonnet_4-6:h21_jtag_auth_expansion_scope:rep_1:VULN-003,1,0,"Cryptographic secrets (HMAC key, AES keys, SHA keys, JTAG hash) stored as plaintext hardcoded constants in fuse_mem RTL"
claude_sonnet_4-6,baseline,h21_jtag_auth_expansion_scope,1,H21-030,TP,baseline:claude_sonnet_4-6:h21_jtag_auth_expansion_scope:rep_1:VULN-002,0,0,"HMAC key bypass hardcoded to 1, allowing the HMAC authentication to be skipped entirely"
