run_id,batch_id,input_scope,agent_mode,model_family,model_version,provider,method_name,prompt_version,temperature,max_output_tokens,tool_policy,run_index,started_at,completed_at,output_path,trace_path,notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_access_control_fabric_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T21:50:17.677818+08:00,2026-06-02T21:52:57.715554+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_access_control_fabric_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T21:52:57.732623+08:00,2026-06-02T21:55:25.984045+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_access_control_fabric_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_aes_rom2_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T21:55:26.000658+08:00,2026-06-02T21:58:12.917178+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_aes_rom2_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T21:58:12.928008+08:00,2026-06-02T22:01:25.870641+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_aes_rom2_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T22:01:25.891794+08:00,2026-06-02T22:04:07.529481+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_aes_rom2_security_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_csr_privilege_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T22:04:07.543510+08:00,2026-06-02T22:07:34.050729+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_csr_privilege_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T22:07:34.057688+08:00,2026-06-02T22:10:02.649830+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_csr_privilege_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T22:10:02.663413+08:00,2026-06-02T22:12:31.215694+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_csr_privilege_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T22:12:31.227530+08:00,2026-06-02T22:16:40.225928+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-03T02:04:00.171253+08:00,2026-06-03T02:07:41.532689+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T22:17:54.932866+08:00,2026-06-02T22:20:47.939036+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h19_debug_jtag_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_access_lock_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T22:20:47.947549+08:00,2026-06-02T22:23:51.302144+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_access_lock_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T22:23:51.314944+08:00,2026-06-02T22:26:51.211532+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_access_lock_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T22:26:51.218700+08:00,2026-06-02T22:30:05.557603+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_access_lock_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_crypto_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T22:30:05.564603+08:00,2026-06-02T22:33:44.627322+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_crypto_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-03T02:07:41.536834+08:00,2026-06-03T02:10:26.017946+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_crypto_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T22:36:21.281651+08:00,2026-06-02T22:39:51.761636+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_crypto_security_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_dma_pkt_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T22:39:51.766145+08:00,2026-06-02T22:42:54.163924+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_dma_pkt_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T22:42:54.168927+08:00,2026-06-02T22:45:59.576133+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h21_dma_pkt_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,deepseek,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T22:45:59.588664+08:00,2026-06-02T22:48:57.399964+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\deepseek_v4_pro\h21_dma_pkt_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,gpt,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T22:48:57.405007+08:00,2026-06-02T22:57:28.743883+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_1\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_2,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,gpt,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,2,2026-06-02T22:57:28.748883+08:00,2026-06-02T23:02:20.562665+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_2\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_3,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,gpt,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,3,2026-06-02T23:02:20.575168+08:00,2026-06-02T23:13:23.478479+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_3\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_debug_jtag_scope\rep_3\tool_trace.jsonl,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,baseline_hackatdac_deepseek_gpt_pilot_v1,h18_fc_core_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,gpt,langchain_read_search,baseline_task_prompt_v1,0.2,32768,read_search_only,1,2026-06-02T23:13:23.483376+08:00,2026-06-02T23:26:44.199720+08:00,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_fc_core_security_scope\rep_1\final_answer.json,C:\Users\anwen\Desktop\vulnerability_detection\src\runs\baseline\baseline_hackatdac_deepseek_gpt_pilot_v1\models\gpt_5_5\h18_fc_core_security_scope\rep_1\tool_trace.jsonl,
