model_family,method_name,input_scope,benchmark_id,case_id,case_result,hit_repetitions,representative_finding_uid,representative_evidence_quality,notes
deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-011,TP,1,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_1:F002,Sufficient,
deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-014,FN,,,,
deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-015,FN,,,,
deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-017,FN,,,,
deepseek_v4_pro,baseline,h19_csr_privilege_scope,hackatdac19,H19-020,TP,1;2;3,baseline:deepseek_v4_pro:h19_csr_privilege_scope:rep_1:H19-001,Sufficient,
deepseek_v4_pro,baseline,h19_csr_privilege_scope,hackatdac19,H19-024,FN,,,,
deepseek_v4_pro,baseline,h19_csr_privilege_scope,hackatdac19,H19-025,FN,,,,
deepseek_v4_pro,baseline,h19_access_control_fabric_scope,hackatdac19,H19-041,FN,,,,
deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-045,TP,1;2;3,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_1:F001,Sufficient,
deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-046,TP,1,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_1:F-004,Sufficient,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-047,TP,2,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_2:JTAG-001,Sufficient,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-048,TP,1;2;3,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_1:F-003,Sufficient,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-049,FN,,,,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-050,FN,,,,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-051,TP,2,baseline:deepseek_v4_pro:h19_debug_jtag_scope:rep_2:JTAG-002,Sufficient,
deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-052,TP,1;2;3,baseline:deepseek_v4_pro:h19_jtag_debug_expansion_scope:rep_1:F-003,Insufficient,
deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-053,FN,,,,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-054,FN,,,,
deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-055,FN,,,,
deepseek_v4_pro,baseline,h19_debug_jtag_scope,hackatdac19,H19-056,FN,,,,
deepseek_v4_pro,baseline,h19_jtag_debug_expansion_scope,hackatdac19,H19-057,FN,,,,
deepseek_v4_pro,baseline,h19_aes_rom2_security_scope,hackatdac19,H19-058,TP,2;3,baseline:deepseek_v4_pro:h19_aes_rom2_security_scope:rep_2:F-004,Sufficient,
deepseek_v4_pro,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-001,TP,3,baseline:deepseek_v4_pro:h21_jtag_auth_expansion_scope:rep_3:F-001,Sufficient,
deepseek_v4_pro,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-002,FN,,,,
deepseek_v4_pro,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-003,FN,,,,
deepseek_v4_pro,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-004,TP,3,baseline:deepseek_v4_pro:h21_jtag_auth_expansion_scope:rep_3:F-002,Sufficient,
deepseek_v4_pro,baseline,h21_access_lock_scope,hackatdac21,H21-005,FN,,,,
deepseek_v4_pro,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-007,FN,,,,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-009,FN,,,,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-012,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-013,FN,,,,
deepseek_v4_pro,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-030,TP,1;2;3,baseline:deepseek_v4_pro:h21_jtag_auth_expansion_scope:rep_1:F1,Sufficient,
deepseek_v4_pro,baseline,h21_dma_pkt_scope,hackatdac21,H21-031,TP,1,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_1:FINDING-001,Sufficient,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-032,FN,,,,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-033,FN,,,,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-034,FN,,,,
deepseek_v4_pro,baseline,h21_access_lock_scope,hackatdac21,H21-035,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-036,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-039,FN,,,,
deepseek_v4_pro,baseline,h21_access_lock_scope,hackatdac21,H21-042,TP,2;3,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_2:F-03,Sufficient,
deepseek_v4_pro,baseline,h21_access_lock_scope,hackatdac21,H21-043,TP,1,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_1:F-002,Sufficient,
deepseek_v4_pro,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-045,FN,,,,
deepseek_v4_pro,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-046,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-047,TP,2;3,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_2:F02,Sufficient,
deepseek_v4_pro,baseline,h21_access_lock_scope,hackatdac21,H21-048,TP,2;3,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_2:F-02,Sufficient,
deepseek_v4_pro,baseline,h21_access_lock_scope,hackatdac21,H21-049,TP,1;3,baseline:deepseek_v4_pro:h21_access_lock_scope:rep_1:F-003,Sufficient,
deepseek_v4_pro,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-052,TP,1;2;3,baseline:deepseek_v4_pro:h21_dma_pmp_expansion_scope:rep_1:F1,Sufficient,
deepseek_v4_pro,baseline,h21_jtag_auth_expansion_scope,hackatdac21,H21-053,TP,1;2,baseline:deepseek_v4_pro:h21_jtag_auth_expansion_scope:rep_1:F3,Sufficient,
deepseek_v4_pro,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-054,TP,1,baseline:deepseek_v4_pro:h21_dma_pmp_expansion_scope:rep_1:F2,Insufficient,
deepseek_v4_pro,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-055,TP,1,baseline:deepseek_v4_pro:h21_dma_pmp_expansion_scope:rep_1:F3,Sufficient,
deepseek_v4_pro,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-056,FN,,,,
deepseek_v4_pro,baseline,h21_dma_pkt_scope,hackatdac21,H21-059,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-060,FN,,,,
deepseek_v4_pro,baseline,h21_dma_pmp_expansion_scope,hackatdac21,H21-064,FN,,,,
deepseek_v4_pro,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-069,TP,1;3,baseline:deepseek_v4_pro:h21_fuse_rng_rsa_expansion_scope:rep_1:F-001,Insufficient,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-072,TP,2,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_2:F-01,Sufficient,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-073,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-074,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-075,TP,2,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_2:F04,Insufficient,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-076,TP,1;2;3,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_1:F3,Sufficient,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-077,TP,1;3,baseline:deepseek_v4_pro:h21_access_reglock_reset_expansion_scope:rep_1:F6,Sufficient,
deepseek_v4_pro,baseline,h21_dma_pkt_scope,hackatdac21,H21-078,TP,2,baseline:deepseek_v4_pro:h21_dma_pkt_scope:rep_2:F-005,Sufficient,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-079,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-080,FN,,,,
deepseek_v4_pro,baseline,h21_access_reglock_reset_expansion_scope,hackatdac21,H21-081,FN,,,,
deepseek_v4_pro,baseline,h21_fuse_rng_rsa_expansion_scope,hackatdac21,H21-095,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-097,FN,,,,
deepseek_v4_pro,baseline,h21_crypto_security_scope,hackatdac21,H21-098,TP,2,baseline:deepseek_v4_pro:h21_crypto_security_scope:rep_2:F03,Sufficient,
deepseek_v4_pro,baseline,h21_access_lock_scope,hackatdac21,H21-099,FN,,,,
