case_id,benchmark_id,input_scope,official_description,case_description,gt_files,gt_modules,gt_signals_or_registers,gt_evidence_notes,case_doc_path
H18-027,hackatdac18,h18_fc_core_security_scope,Secure mode is not required to write to interrupt registers,Secure mode not required for interrupt register writes may omit security state from protected register mediation.,ips/apb_interrupt_cntrl/apb_interrupt_cntrl.sv; ips/pulp_soc/rtl/fc/fc_subsystem.sv,apb_interrupt_cntrl; fc_subsystem,"core_secure_mode_i, core_irq_sec_o, APB_BUS.Slave; s_is_apb_write; r_mask, s_mask_next; r_int, s_int_next; r_ack, s_ack_next; core_secure_mode_i",Agent should identify that interrupt controller registers are writable through APB without requiring core_secure_mode_i.; Confirmed from RTL. Core evidence is the APB write path for r_mask/r_int/r_ack and absence of core_secure_mode_i in those write conditions.; RTL evidence confirmed in apb_interrupt_cntrl.sv: interrupt mask/pending/ack registers update from APB write paths without core_secure_mode_i guard; see cases/H18-027.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=borderline,datasets/benchmarks/hackatdac18/cases/H18-027.md
H18-028,hackatdac18,h18_debug_jtag_scope,JTAG interface is not password protected,JTAG interface without password protection exposes external debug requester without authentication mediation.,rtl/pulpissimo/pulpissimo.sv; rtl/pulpissimo/jtag_tap_top.sv; rtl/pulpissimo/safe_domain.sv; ips/pulp_soc/rtl/pulp_soc/pulp_soc.sv; ips/pulp_soc/rtl/pulp_soc/lint_jtag_wrap.sv; ips/adv_dbg_if/rtl/adbg_lint_biu.sv,pulpissimo; safe_domain; jtag_tap_top; pulp_soc; lint_jtag_wrap; adbg_lintonly_top; adbg_lint_biu,"s_jtag_*, s_axireg_*; module ports; axireg_sel_o, dbg_axi_scan_in_o; lint_jtag_wrap, s_lint_debug_bus; debug_select_i, jtag_lint_master; lint_add_o, lint_req_o, lint_wen_o","Agent should identify the unprotected JTAG-to-LINT/internal debug bus path and cite the JTAG TAP, SoC connection, and lint_jtag_wrap evidence.; Confirmed from RTL by explicit connection path and absence of password/auth signals in this path. Distinct from the advanced debug TAP password-check cases.; RTL evidence confirmed for unprotected JTAG-to-LINT/debug bus path through jtag_tap_top, pulp_soc, and lint_jtag_wrap; see cases/H18-028.md and evidence_gt.jsonl. legacy_include_in_task=yes; legacy_permission_related=yes; legacy_cross_module=yes",datasets/benchmarks/hackatdac18/cases/H18-028.md
H19-001,hackatdac19,h19_access_control_fabric_scope,Processor access to CLINT grants it access to PLIC regardless of PLIC access configuration,CLINT access-control entry can grant PLIC connectivity,tb/ariane_soc_pkg.sv; tb/ariane_testharness.sv; src/axi_node/src/axi_node_intf_wrap.sv,ariane_soc; ariane_testharness; axi_node_intf_wrap; connectivity_mapping,PLIC=6 CLINT=7; access_ctrl_reg access_ctrl; connectivity_map_o[i][j],Agent should identify the CLINT-to-PLIC access-control bypass in the AXI connectivity mapping.; Confirmed by RTL and origin/fix_cwe_1220_in_axi_node_intf_wrap_sv.; RTL confirmed in axi_node_intf_wrap.sv and ariane_soc_pkg.sv. Official fix branch removes CLINT-to-PLIC bypass term.,datasets/benchmarks/hackatdac19/cases/H19-001.md
H19-005,hackatdac19,h19_debug_jtag_scope,Incorrect access control setting leaving debug enabled,Debug module reports authenticated without implemented authentication,src/debug/dm_top.sv; src/debug/dm_csrs.sv,dm_top; dm_csrs,dmi_req_i ndmreset_o debug_req_o AXI ports; dm_csrs; dmstatus.authenticated; dmcontrol_d dmi_req_i.data,Agent should identify debug authentication/access-control state left enabled.; Confirmed from RTL.; RTL confirmed in dm_csrs.sv and dm_top.sv.,datasets/benchmarks/hackatdac19/cases/H19-005.md
H19-009,hackatdac19,h19_csr_privilege_scope,Execute machine level instructions from user mode,umode_i can force current privilege output to machine mode,src/ariane.sv; src/csr_regfile.sv,ariane; csr_regfile,umode_i; umode_i to csr_regfile; priv_lvl_o,Agent should identify that umode_i can force priv_lvl_o to machine mode.; Confirmed by RTL and origin/fix_cwe_1244_in_csr_regfile.; RTL confirmed in csr_regfile.sv and ariane.sv. Official fix branch removes umode_i from the machine-privilege condition.,datasets/benchmarks/hackatdac19/cases/H19-009.md
H19-010,hackatdac19,h19_aes_rom2_security_scope,AES key stored in an unprotected register,AES key words are readable through the AES register interface,src/aes/aes_wrapper.sv; tb/ariane_peripherals.sv,aes_wrapper; ariane_peripherals,key_in; key_big; external_bus_io.rdata key_big; aes AXI/APB path,Agent should identify AES key readback through the bus-visible AES register interface.; Confirmed from RTL. Distinct from H19-011 internal state exposure.; RTL confirmed in aes_wrapper.sv and ariane_peripherals.sv.,datasets/benchmarks/hackatdac19/cases/H19-010.md
H19-011,hackatdac19,h19_aes_rom2_security_scope,AES internal registers are visible externally,AES intermediate state is readable through the AES register interface,src/aes/aes_wrapper.sv; tb/ariane_peripherals.sv,aes_wrapper; ariane_peripherals,inter_state; external_bus_io.rdata inter_state; aes_192_sed inter_state; aes AXI/APB path,Agent should identify AES internal inter_state readback through the external bus interface.; Confirmed from RTL. Distinct from H19-010 key exposure.; RTL confirmed in aes_wrapper.sv and ariane_peripherals.sv.,datasets/benchmarks/hackatdac19/cases/H19-011.md
H19-014,hackatdac19,h19_aes_rom2_security_scope,Crypto oracle for encrypt/decrypt is exposed to unprivileged applications,AES operation interface is exposed as a crypto oracle,tb/ariane_soc_pkg.sv; src/rom2/rom2.sv; tb/ariane_testharness.sv; src/axi_node/src/axi_node_intf_wrap.sv; src/aes/aes_wrapper.sv,ariane_soc; rom2; ariane_testharness; connectivity_mapping; aes_wrapper,AES AESBase AESLength; access-control constants; access_ctrl_reg access_ctrl priv_lvl; connectivity_map_o access_ctrl_i priv_lvl_i; start p_c ct ct_valid,Agent should identify AES oracle exposure through the mapped peripheral interface.; Confirmed from RTL. Distinct from AES key readback H19-010 and hardcoded key H19-015.; RTL confirmed in ariane_soc_pkg.sv rom2.sv ariane_testharness.sv axi_node_intf_wrap.sv and aes_wrapper.sv.,datasets/benchmarks/hackatdac19/cases/H19-014.md
H19-015,hackatdac19,h19_aes_rom2_security_scope,AES key is hard coded,AES key is derived from a hardcoded ROM2 constant,src/rom2/rom2.sv; tb/ariane_peripherals.sv; src/aes/aes_wrapper.sv,rom2; ariane_peripherals; aes_wrapper,mem[0]; secure_reg mem; key_reg_out; key_in key_reg_out[0]; key_in key_big,Agent should identify the hardcoded AES key path.; Confirmed from RTL.; RTL confirmed in rom2.sv ariane_peripherals.sv and aes_wrapper.sv.,datasets/benchmarks/hackatdac19/cases/H19-015.md
H19-017,hackatdac19,h19_aes_rom2_security_scope,Bootrom can be corrupted by user mode applications,Boot ROM memory is writable through the mapped bus path,tb/ariane_soc_pkg.sv; tb/ariane_testharness.sv; bootrom/bootrom.sv,ariane_soc; ariane_testharness; bootrom,ROMBase ROMLength; axi2mem rom_we bootrom; mem,Agent should identify the bus-visible write path into bootrom mem.; Confirmed by RTL and origin/fix_cwe_1326_in_bootrom.; RTL confirmed in bootrom.sv and ariane_testharness.sv. Official fix branch removes the write branch.,datasets/benchmarks/hackatdac19/cases/H19-017.md
H19-020,hackatdac19,h19_csr_privilege_scope,Access to CSRs from lower privilege level,CSR_MEPC is exempted from the normal CSR privilege check,include/riscv_pkg.sv; src/csr_regfile.sv,riscv_pkg; csr_regfile,CSR_MEPC; csr_exception_o CSR_MEPC,Agent should identify the CSR_MEPC privilege-check exception as lower-privilege CSR access risk.; Confirmed from RTL. Distinct from SATP/TVM cases.; RTL confirmed in csr_regfile.sv and riscv_pkg.sv.,datasets/benchmarks/hackatdac19/cases/H19-020.md
H19-024,hackatdac19,h19_csr_privilege_scope,SATP register (read) accessible in Supervisor mode even if TVM is enabled,SATP read is not mediated by TVM,include/riscv_pkg.sv; src/csr_regfile.sv,riscv_pkg; csr_regfile,CSR_SATP; csr_rdata satp_q; csr_exception_o; tvm_o mstatus_q.tvm,Agent should identify missing TVM mediation for SATP reads.; Confirmed from RTL.; RTL confirmed in csr_regfile.sv and riscv_pkg.sv.,datasets/benchmarks/hackatdac19/cases/H19-024.md
H19-025,hackatdac19,h19_csr_privilege_scope,SATP register (write) accessible in Supervisor mode even if TVM is enabled,SATP write is not mediated by TVM,include/riscv_pkg.sv; src/csr_regfile.sv,riscv_pkg; csr_regfile,CSR_SATP; satp_d sapt; csr_exception_o; tvm_o mstatus_q.tvm,Agent should identify missing TVM mediation for SATP writes.; Confirmed from RTL.; RTL confirmed in csr_regfile.sv and riscv_pkg.sv.,datasets/benchmarks/hackatdac19/cases/H19-025.md
H19-041,hackatdac19,h19_access_control_fabric_scope,DRAM memory region is fully accessible from lower privilege level,DRAM region is accessible from lower privilege through SoC access-control configuration,tb/ariane_soc_pkg.sv; src/rom2/rom2.sv; tb/ariane_testharness.sv; src/axi_node/src/axi_node_intf_wrap.sv,ariane_soc; rom2; ariane_testharness; connectivity_mapping,DRAM DRAMBase DRAMLength; access-control constants; access_ctrl_reg access_ctrl; access_ctrl_i priv_lvl_i connectivity_map_o; master[DRAM] dram,Agent should identify lower-privilege access to the DRAM region.; Confirmed from RTL.; RTL confirmed in ariane_soc_pkg.sv rom2.sv ariane_testharness.sv and axi_node_intf_wrap.sv.,datasets/benchmarks/hackatdac19/cases/H19-041.md
H19-045,hackatdac19,h19_aes_rom2_security_scope,Secure registers are accessible via AXI,ROM2 secure registers are exposed through AXI,tb/ariane_soc_pkg.sv; tb/ariane_testharness.sv; tb/ariane_peripherals.sv; src/rom2/rom2.sv,ariane_soc; ariane_testharness; ariane_peripherals; rom2,ROM2Base ROM2Length; rom2_fuse master[ROM2]; axi2mem rom2_req rom2_we rom2_addr; secure_reg rdata_o we_i,Agent should identify AXI exposure of ROM2 secure registers.; Confirmed from RTL. Distinct from H19-010 AES key readback and H19-017 boot ROM writeability.; RTL confirmed in rom2.sv ariane_peripherals.sv ariane_testharness.sv and ariane_soc_pkg.sv.,datasets/benchmarks/hackatdac19/cases/H19-045.md
H19-046,hackatdac19,h19_jtag_debug_expansion_scope,Jtag reference password port is not driven,"Some integration instances instantiate dmi_jtag without connecting jtag_key, while dmi_jtag loads pass from jtag_key and uses it as the JTAG reference password.",src/debug/dmi_jtag.sv; openpiton/serpent_peripherals.sv; fpga/src/ariane_xilinx.sv,dmi_jtag; serpent_peripherals; ariane_xilinx,"jtag_key; data_d, pass, pass_chk; pass <= jtag_key; i_dmi_jtag","Agent should identify that dmi_jtag depends on jtag_key for the JTAG reference password, and at least one integration instance leaves that jtag_key input unconnected/undriven.; Expanded dataset addition; evidence refined during 2026-06-22 review.; Expanded dataset addition. Evidence refined on 2026-06-22 to include unconnected integration instances.",datasets/benchmarks/hackatdac19/cases/H19-046.md
H19-047,hackatdac19,h19_debug_jtag_scope,Some JTAG instructions can be accessed without password,JTAG DMI write path is not consistently password guarded,src/debug/dmi_jtag_tap.sv; src/debug/dmi_jtag.sv,dmi_jtag_tap; dmi_jtag,DMIACCESS; dmi_access_o; pass_chk DTM_READ DTM_WRITE DTM_PASS; dmi_req,Agent should identify JTAG/DMI operations accessible without password mediation.; Confirmed from RTL.; RTL confirmed in dmi_jtag.sv and dmi_jtag_tap.sv.,datasets/benchmarks/hackatdac19/cases/H19-047.md
H19-048,hackatdac19,h19_debug_jtag_scope,Unlocking JTAG sets the processor privilege level to Machine mode,JTAG unlock path can force processor privilege output to machine mode,src/debug/dmi_jtag.sv; tb/ariane_testharness.sv; src/csr_regfile.sv,dmi_jtag; ariane_testharness; csr_regfile,pass_chk; umode_o; ariane_umode umode_o; umode_i ariane_umode; priv_lvl_o umode_i PRIV_LVL_M,Agent should identify the JTAG-unlock-to-machine-privilege path.; Confirmed from RTL.; RTL confirmed in dmi_jtag.sv ariane_testharness.sv and csr_regfile.sv.,datasets/benchmarks/hackatdac19/cases/H19-048.md
H19-049,hackatdac19,h19_debug_jtag_scope,JTAG password is only 32 bits,JTAG password path is only 32 bits wide,src/debug/dmi_jtag.sv,dmi_jtag,jtag_key[31:0]; data_d data_q pass; DTM_PASS data_d pass; pass jtag_key,Agent should identify the 32-bit JTAG password width.; Confirmed from RTL.; RTL confirmed in dmi_jtag.sv.,datasets/benchmarks/hackatdac19/cases/H19-049.md
H19-050,hackatdac19,h19_debug_jtag_scope,Authorized debugs can access FUSE memory,Debug SBA path can access ROM2/FUSE memory,src/debug/dm_top.sv; src/debug/dm_csrs.sv; tb/ariane_testharness.sv; tb/ariane_soc_pkg.sv; src/rom2/rom2.sv,dm_top; dm_csrs; ariane_testharness; ariane_soc; rom2,axi_m_req_o axi_m_resp_i; dm_sba axi_m_req_o; sbaddr_d sbdata_d sbdata_write_valid_o; dm_axi_m_req axi_master_connect; ROM2 ROM2Base; mem secure_reg rdata_o,Agent should identify authorized debug access to ROM2/FUSE memory through SBA.; Confirmed from RTL. Distinct from ordinary AXI ROM2 exposure H19-045.; RTL confirmed in dm_top.sv dm_csrs.sv ariane_testharness.sv ariane_soc_pkg.sv and rom2.sv.,datasets/benchmarks/hackatdac19/cases/H19-050.md
H19-051,hackatdac19,h19_debug_jtag_scope,JTAG password flag not reset properly,JTAG password flag is not reset properly,src/debug/dmi_jtag.sv,dmi_jtag,pass_chk; DTM_PASS pass_chk; pass_chk umode_o; state_q address_q data_q error_q,Agent should identify missing reset of the JTAG password flag.; Confirmed from RTL.; RTL confirmed in dmi_jtag.sv.,datasets/benchmarks/hackatdac19/cases/H19-051.md
H19-052,hackatdac19,h19_jtag_debug_expansion_scope,JTAG reset uninitialized,"JTAG/DMI reset is split across trst_ni, rst_ni, and dmi_rst_no, leaving reset behavior dependent on multiple paths.",src/debug/dmi_jtag.sv; src/debug/dmi_jtag_tap.sv; tb/ariane_testharness.sv,dmi_jtag; dmi_jtag_tap; ariane_testharness,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H19-052.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac19/cases/H19-052.md
H19-053,hackatdac19,h19_jtag_debug_expansion_scope,Debug module does not reset on a system reset,"The debug module reset path is separated from the system reset path, while system reset is driven by ndmreset_n.",src/debug/dm_top.sv; src/debug/dm_csrs.sv; tb/ariane_testharness.sv,dm_top; dm_csrs; ariane_testharness,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H19-053.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac19/cases/H19-053.md
H19-054,hackatdac19,h19_debug_jtag_scope,JTAG key is hardcoded,JTAG key is derived from hardcoded ROM2 constant,src/rom2/rom2.sv; tb/ariane_peripherals.sv; src/debug/dmi_jtag.sv,rom2; ariane_peripherals; dmi_jtag,mem[1]; secure_reg mem; key_reg_out jtag_key; pass jtag_key,Agent should identify the hardcoded JTAG key path.; Confirmed from RTL.; RTL confirmed in rom2.sv ariane_peripherals.sv and dmi_jtag.sv.,datasets/benchmarks/hackatdac19/cases/H19-054.md
H19-055,hackatdac19,h19_jtag_debug_expansion_scope,JTAG not temporarily disabled after several continuous wrong password attempts,"Password checking updates pass_chk but no retry counter, lockout, or temporary disable state is implemented in the JTAG authentication state machine.",src/debug/dmi_jtag.sv,dmi_jtag,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H19-055.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac19/cases/H19-055.md
H19-056,hackatdac19,h19_debug_jtag_scope,Secondary Reset Control through Debug exposed to SW,Debug control path can drive secondary SoC reset,src/debug/dm_csrs.sv; src/debug/dm_top.sv; tb/ariane_testharness.sv,dm_csrs; dm_top; ariane_testharness,dmcontrol_d dmi_req_i.data; dmcontrol_q.ndmreset ndmreset_o; ndmreset_o; ndmreset ndmreset_n; ndmreset_n,Agent should identify debug-controlled secondary reset exposure.; Confirmed from RTL.; RTL confirmed in dm_csrs.sv dm_top.sv and ariane_testharness.sv.,datasets/benchmarks/hackatdac19/cases/H19-056.md
H19-057,hackatdac19,h19_jtag_debug_expansion_scope,JTAG password input can be a high impedance state,The JTAG key is sampled directly into pass without validity checking or sanitization.,src/debug/dmi_jtag.sv; tb/ariane_peripherals.sv,dmi_jtag; ariane_peripherals,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H19-057.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac19/cases/H19-057.md
H19-058,hackatdac19,h19_aes_rom2_security_scope,Register locks can be reprogrammed after boot-up,Security configuration registers can be reprogrammed after boot,src/rom2/rom2.sv; tb/ariane_peripherals.sv; tb/ariane_testharness.sv,rom2; ariane_peripherals; ariane_testharness,mem[2] mem[3]; secure_reg mem; secure_reg we_i wdata_i; key_reg_out access_ctrl_reg; rom2_fuse access_ctrl_reg,Agent should identify post-boot reprogrammability of access-control or lock-like security configuration.; Confirmed from RTL. Related to H19-045 but scored as lifecycle/register-lock failure.; RTL confirmed in rom2.sv ariane_peripherals.sv and ariane_testharness.sv.,datasets/benchmarks/hackatdac19/cases/H19-058.md
H21-001,hackatdac21,h21_jtag_auth_expansion_scope,JTAG password flag not reset properly,"The JTAG unlock output is derived from pass_check, but pass_check is combinational and reset/state persistence must be reasoned through TAP and DMI reset paths.",piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv,dmi_jtag,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-001.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-001.md
H21-002,hackatdac21,h21_jtag_auth_expansion_scope,Able to write using JTAG without password,JTAG/DMI write authorization depends on pass_check and write-enable policy in the DMI state machine.,piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag.sv; piton/design/chip/tile/ariane/src/riscv-dbg/src/dmi_jtag_tap.sv,dmi_jtag; dmi_jtag_tap,key RTL/source evidence,Expanded dataset addition; evaluator-only hidden GT.; Expanded dataset addition. RTL evidence recorded in cases/H21-002.md and evidence_gt.jsonl.,datasets/benchmarks/hackatdac21/cases/H21-002.md
